"COALINEA","NOALINEA"
"791100","Multas Administrativas, Contratuais e Judiciais                       "
"791106","Multas por Danos Ambientais                                           "
"763200","Serviços de Assistência à Saúde de Servidores Civis e Militares       "
"192250","Restituições de Recursos Recebidos do SUS                             "
"246151","Transferências do Exterior para Programas de Educação                 "
"249101","Transferências de Pessoas Físicas para Órgãos e Entidades da União    "
"241953","Transferências de Recursos do Fundo Penitenciário Nacional - FUNPEN   "
"199907","Disponibilidades de Recursos do Fundo Social                          "
"712150","Taxa de Fiscalização de Vigilância Sanitária                          "
"243201","Transferências de Convênios dos Municípios e de Suas Entidades para Ór"
"243900","Outras Transferências dos Municípios                                  "
"133401","Concessão dos Serviços de Geração, Transmissão ou Distribuição de Ener"
"212250","Operações de Crédito Externas para Programas de Educação              "
"212253","Operações de Crédito Externas para Programas de Meio Ambiente         "
"162100","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"241959","Transferência de Recursos do Fundo de Amparo ao Trabalhador - FAT     "
"761150","Serviços de Administração Previdenciária                              "
"711252","Imposto sobre Transmissão ""Causa Mortis"" e Doação de Bens e Direitos  "
"161001","Serviços Administrativos e Comerciais Gerais                          "
"174100","Transferências de Instituições Privadas                               "
"163199","Outros Serviços de Atendimento à Saúde                                "
"161103","Serviços de Registro, Certificação e Fiscalização                     "
"161104","Serviços de Informação e Tecnologia                                   "
"161105","Serviços Técnicos e Aprovação de Laudos de Telecomunicações           "
"171799","Outras Transferências de Convênios da União e de Suas Entidades       "
"172198","Transferências Decorrentes de Participação em Outras Receitas de Impos"
"241199","Outras Transferências de Recursos do Sistema Único de Saúde - SUS     "
"231000","Amortização de Empréstimos                                            "
"191104","Multas Previstas na Legislação sobre Defesa dos Direitos Difusos      "
"112198","Taxas de Inspeção, Controle e Fiscalização - Outras                   "
"199912","Encargos Legais pela Inscrição em Dívida Ativa e Receitas de Ônus de S"
"171455","Transferências referentes ao Programa Brasil Alfabetizado - PBA       "
"241900","Outras Transferências de Recursos da União e de suas Entidades        "
"241999","Outras Transferências De Recursos da União e de suas Entidades        "
"171151","Cota-Parte do Fundo de Participação dos Municípios - FPM              "
"171299","Outras Transferências decorrentes de Compensação Financeira pela Explo"
"241450","Transferências de Convênios da União para o Sistema Único de Saúde -  "
"241452","Transferências de Convênios da União destinadas a Programas de Saneame"
"241453","Transferências de Convênios da União destinadas a Programas de Meio Am"
