"COFONTE","NOFONTE","INTIPOFONTE","INFONTETESOURO","INSTATUS","ULTALTERACAO","TXDESCRICAO","INDESTINACAO","COFONTEFEDERAL"
132002950,"CONV. 003048/01 - GDF/SES/FNS//MS - 5902-1        ","9","N",0,"20241127155255 03589980184","CONSTRUÇÃO DO HOSPITAL DO PARANOÁ, VISANDO AO FORTALECIMENTO DO SISTEMA ÚNICO DE SAÚDE.                                                                                                                                                                   ",2,1700
121002950,"CONV. 003048/01 - GDF/SES/FNS/MS - 5902-1         ","9","N",0,"20241113164723 03589980184","CONSTRUÇÃO DO HOSPITAL DO PARANOÁ, VISANDO AO FORTALECIMENTO DO SISTEMA ÚNICO DE SAÚDE.                                                                                                                                                                   ",2,1700
221002788,"CONV. 002788/00 - GDF/EMATER/CEF - 0069004742     ","9","N",0,"20241209164705 03589980184","CONVÊNIO FIRMADO ENTRE A CEF/EMATER ATRAVÉS DA PRODESA/INFORMATIZAÇÃO - EQUIPAMENTOS.                                                                                                                                                                     ",2,1700
221002789,"CONV. 002789/00 - GDF/EMATER/CEF - 0069004750     ","9","N",0,"20241209164713 03589980184","CONVÊNIO FIRMADO ENTRE A CEF/EMATER, ATRAVÉS DA PRODESA/INFORMATIZAÇÃO - EQUIPAMENTOS.                                                                                                                                                                    ",2,1700
221002947,"CONV. 002947/01 - GDF/EMATER/INCRA - 45870-8      ","9","N",0,"20241209164830 03589980184","EXECUÇÃO DE ASSISTÊNCIA TÉCNICA PARA 427 FAMÍLIAS NOS PROJETOS DE ASSENTAMENTO: CIGANO, COLÔNIA I, CONTAGEM, RECANTO DA CONQUISTA, SANTO ANTÔNIO DAS BRANCAS, SÍTIO NOVO, TERRA CONQUISTA, TRÊS CONQUISTAS, UNIÃO FLOR DA SERRA E VEREDA I.               ",2,1700
321002798,"CONV. 000014/01 - GDF/SE/INEP - 1911414           ","9","N",0,"20220805170627 99999999999","REALIZAÇÃO DO CENSO ESCOLAR/2001.                                                                                                                                                                                                                         ",2,2700
332002798,"CONV. 000014/01 - GDF/SE/INEP - 1911414           ","9","N",0,"20220805170627 99999999999","REALIZAÇÃO DO CENSO ESCOLAR/2001.                                                                                                                                                                                                                         ",2,2700
321002962,"CONV. 002962/00 - GDF/SGA/INSS - 1911066          ","9","N",0,"20241210153715 03589980184","COOPERAÇÃO TÉCNICA E ADMINSTRATIVA PARA OPERACIONALIZAÇÃO DA COMPENSAÇÃO PREVIDENCIÁRIA.                                                                                                                                                                  ",2,2700
332002962,"CONV. 002962/00 - GDF/SGA/SEAPS/INSS - 1911066    ","9","N",0,"20241218133243 03589980184","COOPERAÇÃO TÉCNICA E ADMINISTRATIVA PARA A OPERACIONALIZAÇÃO DA COMPENSAÇÃO PREVIDENCIÁRIA.                                                                                                                                                               ",2,2700
321002618,"CONV. 000020/00 - GDF/SE/MEC - 1911120            ","9","N",0,"20241210144850 03589980184","IMPLEMENTAR O PROGRAMA DE EXPANSÃO DA EDUCAÇÃO PROFISSIONAL PROEP NO COLÉGIO AGRÍCOLA DE BRASÍLIA.                                                                                                                                                        ",2,2700
121002886,"CONV. 013581/00 - GDF/SEL/CEF - 9005790           ","9","N",0,"20220805170627 99999999999","CONVÊNIO VISANDO A CONSTRUÇÃO DE QUADRA POLIESPORTIVA EM SAMAMBAIA/DF.                                                                                                                                                                                    ",2,1700
121002890,"CONV. 013093/00 - GDF/SEL/CEF - 9005846           ","9","N",0,"20220805170627 99999999999","CONVÊNIO VISANDO A  REFORMA E AMPLIAÇÃO DE QUADRA POLIESPORTIVA NA CEILÂNDIA/DF.                                                                                                                                                                          ",2,1700
121002894,"CONV. 000464/01 - GDF/FAS/MPAS - 191161-9         ","9","N",0,"20220805170627 99999999999","FORTALECIMENTO DA REDE CONVENIADA DE ATENDIMENTO INFANTIL CONFORME O PROCESSO Nº 44005.001685/2001, MPAS  PORTARIA DE 09/10/2001.                                                                                                                         ",2,1700
132002895,"CONV. 000006/99 - SES/FNS/MS - 191163-5           ","9","N",0,"20220805170627 99999999999","APOIO À REESTRUTURAÇÃO DOS LABORATÓRIOS CENTRAIS DE SAÚDE PÚBLICA ESTADUAIS - PROLACEN-DF.                                                                                                                                                                ",2,1700
121002895,"CONV. 000006/99 - SES/FNS/MS - 191163-5           ","9","N",0,"20220805170627 99999999999","APOIO À REESTRUTURAÇÃO DOS LABORATÓRIOS CENTRAIS DE SAÚDE PÚBLICA ESTADUAIS - PROLACEN-DF.                                                                                                                                                                ",2,1700
131002873,"CONV. 000001/01 - GDF/PM/DMTU - 0050367           ","9","N",0,"20220805170627 99999999999","REALIZAÇÃO MEDIANTE CLÁUSULAS E CONDIÇÕES NESTE TERMO ESTABELECIDAS, DE OPERAÇÕES CONJUNTAS, COM A FINALIDADE DE COIBIR NO DISTRITO FEDERAL O TRANSPORTE COLETIVO DE PASSAGEIROS NÃO AUTORIZADOS.                                                         ",2,1701
121002873,"CONV. 000001/01 - GDF/PM/DMTU - 0050367           ","9","N",0,"20220805170627 99999999999","REALIZAÇÃO MEDIANTE CLÁUSULAS E CONDIÇÕES NESTE TERMO ESTABELECIDAS DE OPERAÇÕES CONJUNTAS COM A FINALIDADE DE COIBIR NO DISTRITO FEDERAL O TRANSPORTE COLETIVO DE PASSAGEIROS NÃO AUTORIZADOS.                                                           ",2,1700
232002948,"CONV. 000379/01 - GDF/FUNAP/MET - 191200-3        ","9","N",0,"20241209170622 03589980184","CONTINUAÇÃO DO PROJETO PINTANDO A LIBERDADE III, COM CONFECÇÃO DE MATERIAIS ESPORTIVOS COM A UTILIZAÇÃO DE MÃO DE OBRA DOS INTERNOS DO SISTEMA PENAL DO DF.                                                                                               ",2,1700
121002962,"CONV. 002962/00 - GDF/SGA/SEAPS/INSS - 1911066    ","9","N",0,"20241113164749 03589980184","COOPERAÇÃO TÉCNICA E ADMINISTRATIVA PARA A OPERACIONALIZAÇÃO DA COMPENSAÇÃO PREVIDENCIÁRIA.                                                                                                                                                               ",2,1700
321002623,"CONV. 000021/00 - GDF/SE/FNDE/MEC - 1911139       ","9","N",0,"20241210144858 03589980184","IMPLEMENTAR O PROGRAMA DE EXPANSÃO DA EDUCAÇÃO PROFISSIONAL PROEP NO CENTRO DE EDUCAÇÃO PARA O TRABALÇHO-CET, DA SECRETARIA.                                                                                                                              ",2,2700
332002302,"CONV. 003242/95 - GDF/SES/FNS/MS - 1909894        ","9","N",0,"20220805170627 99999999999","CONVÊNIO GDF/SES/FNS                                                                                                                                                                                                                                      ",2,2700
332002359,"CONV. 000148/99 - GDF/SES/FNS/MS - 191052-3       ","9","N",0,"20241218130527 03589980184","REDUZIR A INCIDÊNCIA E TRANSMISSÃO DO HIV E DA INFCÇÃO DAS DTS, CATEGORIA DE 01 05.                                                                                                                                                                       ",2,2700
332002360,"CONV. 000148/99 - GDF/SES/FNS/MS - 191053-1       ","9","N",0,"20241218130536 03589980184","REDUZIR A INCIDÊNCIA E TRANSMISSÃO DO HIV E DA INFECÇÃO DAS DST CATEGORIAS DE 06 A 09.                                                                                                                                                                    ",2,2700
332002389,"CONV. 000183/99 - GDF/FHDF/FNS/MS - 33019-1       ","9","N",0,"20241218130602 03589980184","PROMOVER AÇÕES DE IMUNIZAÇÃO NO ESTADO.                                                                                                                                                                                                                   ",2,2700
332002397,"CONV. 000715/98 - GDF/SES/FNS/MS - 190908-8       ","9","N",0,"20241218130611 03589980184","PROGRAMA NACIONAL DE CONTROLE DO CÂNCER DE COLO UTERINO - PROGRAMA VIVA MULHER.                                                                                                                                                                           ",2,2700
332002405,"CONV. 000273/99 - GDF/ISDF/FNS-MS - 191040-X      ","9","N",0,"20220805170627 99999999999","CONVÊNIO 273/99-ISDF/GDF/FNS/SES C/C 191040-X                                                                                                                                                                                                             ",2,2700
332002432,"CONV. 000220/99 - GDF/SES/FNS/MS - 191055-8       ","9","N",0,"20241218130641 03589980184","IMPLANTAÇÃO DA UNIDADE DE APOIO TÉCNICO DO PROJETO VIGISUS.                                                                                                                                                                                               ",2,2700
332002441,"CONV. 000334/99 - GDF/FHDF/FNS/MS - 191087-6      ","9","N",0,"20241218130649 03589980184","APOIO FINANCEIRO PARA A CONSTRUÇÃO DO HOSPITAL DO PARANOÁ-DF.                                                                                                                                                                                             ",2,2700
332002482,"CONV. 000758/99 - GDF/SES/FNS/MS - 5276-0         ","9","N",0,"20241218130727 03589980184","APOIO FINANCEIRO PARA AS AÇÕES DO PROGRAMA NACIONAL DE COMBATE AO CÂNCER DO  COLO UTERINO E CÂNCER DE MAMA.                                                                                                                                               ",2,2700
332002484,"CONV. 001038/99 - GDF/FHDF/FNS/MS - 5275-2        ","9","N",0,"20241218130825 03589980184","APOIO FINANCEIRO PARA O PROJETO CARMEM - SALVANDO O PÉ DIABÉTICO.                                                                                                                                                                                         ",2,2700
